Day rating;today's comment; previousDayChange; Improvement Idea; Date; Username - table header that is ignored
1;comment26;previousDayChange;improvementIdea;02/12/2020;radu.mazare@moodproject
1;comment64;previousDayChange95;improvementIdea95;01/12/2020;radu.mazare@moodproject
4;comment59;previousDayChange96;improvementIdea96;30/11/2020;radu.mazare@moodproject
1;comment22;previousDayChange97;improvementIdea97;29/11/2020;radu.mazare@moodproject
3;comment90;previousDayChange;improvementIdea;28/11/2020;radu.mazare@moodproject
3;comment89;previousDayChange98;improvementIdea98;27/11/2020;radu.mazare@moodproject
3;comment13;previousDayChange99;improvementIdea99;26/11/2020;radu.mazare@moodproject
4;comment85;previousDayChange100;improvementIdea100;25/11/2020;radu.mazare@moodproject
5;comment33;previousDayChange;improvementIdea;24/11/2020;radu.mazare@moodproject
5;comment87;previousDayChange101;improvementIdea101;23/11/2020;radu.mazare@moodproject
4;comment27;previousDayChange102;improvementIdea102;22/11/2020;radu.mazare@moodproject
5;comment10;previousDayChange103;improvementIdea103;21/11/2020;radu.mazare@moodproject
1;comment67;previousDayChange;improvementIdea;20/11/2020;radu.mazare@moodproject
1;comment2;previousDayChange104;improvementIdea104;19/11/2020;radu.mazare@moodproject
2;comment99;previousDayChange105;improvementIdea105;18/11/2020;radu.mazare@moodproject
5;comment65;previousDayChange106;improvementIdea106;17/11/2020;radu.mazare@moodproject
3;comment47;previousDayChange;improvementIdea;16/11/2020;radu.mazare@moodproject
5;comment92;previousDayChange107;improvementIdea107;15/11/2020;radu.mazare@moodproject
4;comment20;previousDayChange108;improvementIdea108;14/11/2020;radu.mazare@moodproject
3;comment43;previousDayChange109;improvementIdea109;13/11/2020;radu.mazare@moodproject
4;comment11;previousDayChange;improvementIdea;12/11/2020;radu.mazare@moodproject
2;comment29;previousDayChange110;improvementIdea110;11/11/2020;radu.mazare@moodproject
5;comment21;previousDayChange111;improvementIdea111;10/11/2020;radu.mazare@moodproject
4;comment78;previousDayChange112;improvementIdea112;09/11/2020;radu.mazare@moodproject
5;comment58;previousDayChange;improvementIdea;08/11/2020;radu.mazare@moodproject
2;comment49;previousDayChange113;improvementIdea113;07/11/2020;radu.mazare@moodproject
2;comment39;previousDayChange114;improvementIdea114;06/11/2020;radu.mazare@moodproject
4;comment93;previousDayChange115;improvementIdea115;05/11/2020;radu.mazare@moodproject
2;comment18;previousDayChange;improvementIdea;04/11/2020;radu.mazare@moodproject
1;comment87;previousDayChange116;improvementIdea116;03/11/2020;radu.mazare@moodproject
5;comment37;previousDayChange117;improvementIdea117;02/11/2020;radu.mazare@moodproject
5;comment90;previousDayChange118;improvementIdea118;02/12/2020;valentina.popescu@moodproject
5;comment67;previousDayChange;improvementIdea;01/12/2020;valentina.popescu@moodproject
2;comment89;previousDayChange119;improvementIdea119;30/11/2020;valentina.popescu@moodproject
5;comment78;previousDayChange120;improvementIdea120;29/11/2020;valentina.popescu@moodproject
4;comment76;previousDayChange121;improvementIdea121;28/11/2020;valentina.popescu@moodproject
2;comment92;previousDayChange;improvementIdea;27/11/2020;valentina.popescu@moodproject
5;comment32;previousDayChange122;improvementIdea122;26/11/2020;valentina.popescu@moodproject
4;comment52;previousDayChange123;improvementIdea123;25/11/2020;valentina.popescu@moodproject
2;comment28;previousDayChange124;improvementIdea124;24/11/2020;valentina.popescu@moodproject
2;comment59;previousDayChange;improvementIdea;23/11/2020;valentina.popescu@moodproject
4;comment59;previousDayChange125;improvementIdea125;22/11/2020;valentina.popescu@moodproject
2;comment42;previousDayChange126;improvementIdea126;21/11/2020;valentina.popescu@moodproject
2;comment53;previousDayChange127;improvementIdea127;20/11/2020;valentina.popescu@moodproject
4;comment18;previousDayChange;improvementIdea;19/11/2020;valentina.popescu@moodproject
