Day rating;today's comment; previousDayChange; Improvement Idea; Date; Username - table header that is ignored
1;comment76;previousDayChange;improvementIdea;10/12/2020;catalin.gheorghe@moodproject
3;comment11;previousDayChange2;improvementIdea2;09/12/2020;catalin.gheorghe@moodproject
2;comment99;previousDayChange3;improvementIdea3;07/11/2020;catalin.gheorghe@moodproject
4;comment66;previousDayChange4;improvementIdea4;12/11/2020;catalin.gheorghe@moodproject
4;comment99;previousDayChange;improvementIdea;28/11/2020;catalin.gheorghe@moodproject
4;comment85;previousDayChange5;improvementIdea5;27/11/2020;catalin.gheorghe@moodproject
2;comment87;previousDayChange6;improvementIdea6;26/11/2020;catalin.gheorghe@moodproject
3;comment57;previousDayChange7;improvementIdea7;25/11/2020;catalin.gheorghe@moodproject
2;comment93;previousDayChange;improvementIdea;24/11/2020;catalin.gheorghe@moodproject
5;comment53;previousDayChange8;improvementIdea8;23/11/2020;catalin.gheorghe@moodproject
3;comment9;previousDayChange9;improvementIdea9;22/11/2020;catalin.gheorghe@moodproject
3;comment63;previousDayChange10;improvementIdea10;21/11/2020;catalin.gheorghe@moodproject
1;comment76;previousDayChange;improvementIdea;20/11/2020;catalin.gheorghe@moodproject
4;comment70;previousDayChange11;improvementIdea11;19/11/2020;catalin.gheorghe@moodproject
3;comment54;previousDayChange12;improvementIdea12;18/11/2020;catalin.gheorghe@moodproject
3;comment10;previousDayChange13;improvementIdea13;17/11/2020;catalin.gheorghe@moodproject
5;comment9;previousDayChange;improvementIdea;16/11/2020;catalin.gheorghe@moodproject
3;comment63;previousDayChange14;improvementIdea14;15/11/2020;catalin.gheorghe@moodproject
4;comment46;previousDayChange15;improvementIdea15;14/11/2020;catalin.gheorghe@moodproject
1;comment93;previousDayChange16;improvementIdea16;13/11/2020;catalin.gheorghe@moodproject
1;comment36;previousDayChange;improvementIdea;12/11/2020;catalin.gheorghe@moodproject
2;comment90;previousDayChange17;improvementIdea17;11/11/2020;catalin.gheorghe@moodproject
1;comment16;previousDayChange18;improvementIdea18;10/11/2020;catalin.gheorghe@moodproject
2;comment68;previousDayChange19;improvementIdea19;09/11/2020;catalin.gheorghe@moodproject
1;comment82;previousDayChange;improvementIdea;08/11/2020;catalin.gheorghe@moodproject
2;comment61;previousDayChange20;improvementIdea20;07/11/2020;catalin.gheorghe@moodproject
2;comment66;previousDayChange21;improvementIdea21;06/11/2020;catalin.gheorghe@moodproject
5;comment37;previousDayChange22;improvementIdea22;05/11/2020;catalin.gheorghe@moodproject
4;comment36;previousDayChange;improvementIdea;04/11/2020;catalin.gheorghe@moodproject
1;comment53;previousDayChange23;improvementIdea23;03/11/2020;catalin.gheorghe@moodproject
5;comment18;previousDayChange24;improvementIdea24;02/11/2020;catalin.gheorghe@moodproject
3;comment40;previousDayChange25;improvementIdea25;02/12/2020;ana.anastasescu@moodproject
1;comment42;previousDayChange;improvementIdea;01/12/2020;ana.anastasescu@moodproject
1;comment87;previousDayChange26;improvementIdea26;11/12/2020;ana.anastasescu@moodproject
4;comment57;previousDayChange27;improvementIdea27;29/11/2020;ana.anastasescu@moodproject
1;comment47;previousDayChange28;improvementIdea28;28/11/2020;ana.anastasescu@moodproject
1;comment27;previousDayChange;improvementIdea;27/11/2020;ana.anastasescu@moodproject
2;comment46;previousDayChange29;improvementIdea29;26/11/2020;ana.anastasescu@moodproject
1;comment32;previousDayChange30;improvementIdea30;25/11/2020;ana.anastasescu@moodproject
2;comment36;previousDayChange31;improvementIdea31;24/11/2020;ana.anastasescu@moodproject
3;comment93;previousDayChange;improvementIdea;23/11/2020;ana.anastasescu@moodproject
3;comment61;previousDayChange32;improvementIdea32;22/11/2020;ana.anastasescu@moodproject
2;comment93;previousDayChange33;improvementIdea33;21/11/2020;ana.anastasescu@moodproject
1;comment19;previousDayChange34;improvementIdea34;20/11/2020;ana.anastasescu@moodproject
5;comment79;previousDayChange;improvementIdea;19/11/2020;ana.anastasescu@moodproject
4;comment94;previousDayChange35;improvementIdea35;18/11/2020;ana.anastasescu@moodproject
3;comment45;previousDayChange36;improvementIdea36;17/11/2020;ana.anastasescu@moodproject
2;comment94;previousDayChange37;improvementIdea37;16/11/2020;ana.anastasescu@moodproject
3;comment69;previousDayChange;improvementIdea;15/11/2020;ana.anastasescu@moodproject
3;comment43;previousDayChange38;improvementIdea38;14/11/2020;ana.anastasescu@moodproject
