First Name; Last Name; Birthday; Hire date; Project Name - table header that is ignored
Catalin;Gheorghe;16/01/1988;04/01/2019;Project A
Catalin;Gh;16/01/1988;04/01/2019;Project A
Ana;Anastasescu;22/02/1987;05/05/2018;Project A
Emilia;Fazan;10/10/1995;06/06/2012;Project A
Radu;Mazare;17/01/1988;04/02/2019;Project A
Valentina;Popescu;18/01/1988;04/03/2019;Project B
Razvan;Ionescu;20/04/1981;05/05/2011;Project B
Cristian;Dumitrache;14/08/1993;05/01/2020;Project C
Cosmina;Isar;09/02/1996;10/10/2017;Project C
Paula;Avram;06/05/1971;01/05/2003;Project D
Alexandra;Preda;01/01/1985;01/01/2016;Project A
Iustin;Tarachiu;01/01/1982;01/01/2014;Project B
Laurentiu;Craciunescu;05/09/1991;01/01/2017;Project C
Irina;Dumitrescu;01/01/1971;04/01/1999;Project D
